Таможня,Код
Все,
Алтайская таможня,6
Белгородская таможня,45
Брянская таможня,22
Бурятская таможня,69
Воронежская таможня,38
Выборгская таможня,79
Дагестанская таможня,17
Калининградская областная таможня,29250
Карельская таможня,67
Кингисеппская таможня,31
Краснодарская таможня,14
Красноярская таможня,29254
Крымская таможня,29148
Курская таможня,29
Мурманская таможня,51
Псковская таможня,9
Ростовская таможня,24
Северо-Осетинская таможня,36
Уссурийская таможня,62
Хабаровская таможня,383581
Читинская таможня,2
